,State,City,Population,V_crime,Murder,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,city,city_ascii,state_name,county_fips,county_name,population,density,source,incorporated,ranking,isMetro,areaname,family_member_count,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,taxes,total_cost,median_family_income
7,SOUTH CAROLINA,DUE WEST,"1,240",0,0.0,0,0,0,18,3,15,0,DUE WEST,Due West,SOUTH CAROLINA,45001,ABBEVILLE,1203,284,polygon,True,3,False,"Abbeville County, SC",2p2c,8148.0,9714.21384,14433.5988,13507.2,6472.18428,4582.35168,63942.8376,53251.19921875
17,SOUTH CAROLINA,CALHOUN FALLS,"1,912",14,2.0,0,0,12,31,11,17,3,CALHOUN FALLS,Calhoun Falls,SOUTH CAROLINA,45001,ABBEVILLE,1902,216,polygon,True,3,False,"Abbeville County, SC",2p2c,8148.0,9714.21384,14433.5988,13507.2,6472.18428,4582.35168,63942.8376,53251.19921875
27,SOUTH CAROLINA,ABBEVILLE,"5,017",47,9.0,4,4,30,123,29,89,5,ABBEVILLE,Abbeville,SOUTH CAROLINA,45001,ABBEVILLE,5019,311,polygon,True,3,False,"Abbeville County, SC",2p2c,8148.0,9714.21384,14433.5988,13507.2,6472.18428,4582.35168,63942.8376,53251.19921875
35,LOUISIANA,CHURCH POINT,"4,424",39,1.0,1,0,37,78,18,57,3,CHURCH POINT,Church Point,LOUISIANA,22001,ACADIA,4388,581,polygon,True,3,True,"Acadia Parish, LA HUD Metro FMR Area",2p2c,8700.0,9114.5706,13866.2988,18289.0836,6454.92192,7041.48408,72526.2192,58169.6953125
45,LOUISIANA,CROWLEY,"12,621",158,1.0,8,14,135,528,132,372,24,CROWLEY,Crowley,LOUISIANA,22001,ACADIA,14147,830,polygon,True,3,True,"Acadia Parish, LA HUD Metro FMR Area",2p2c,8700.0,9114.5706,13866.2988,18289.0836,6454.92192,7041.48408,72526.2192,58169.6953125
55,LOUISIANA,RAYNE,"8,088",20,0.0,0,3,17,186,24,157,5,RAYNE,Rayne,LOUISIANA,22001,ACADIA,9431,813,polygon,True,3,True,"Acadia Parish, LA HUD Metro FMR Area",2p2c,8700.0,9114.5706,13866.2988,18289.0836,6454.92192,7041.48408,72526.2192,58169.6953125
61,VIRGINIA,ONLEY,500,1,0.0,0,1,0,21,1,18,2,ONLEY,Onley,VIRGINIA,51001,ACCOMACK,500,241,polygon,True,3,False,"Accomack County, VA",2p2c,8556.0,8874.71412,14262.8748,15842.3172,6315.83568,7370.78904,72224.274,59259.15625
71,VIRGINIA,ONANCOCK,"1,210",3,0.0,1,1,1,24,7,15,2,ONANCOCK,Onancock,VIRGINIA,51001,ACCOMACK,1211,446,polygon,True,3,False,"Accomack County, VA",2p2c,8556.0,8874.71412,14262.8748,15842.3172,6315.83568,7370.78904,72224.274,59259.15625
81,VIRGINIA,CHINCOTEAGUE,"2,872",4,0.0,2,1,1,50,8,39,3,CHINCOTEAGUE,Chincoteague,VIRGINIA,51001,ACCOMACK,2875,119,polygon,True,3,False,"Accomack County, VA",2p2c,8556.0,8874.71412,14262.8748,15842.3172,6315.83568,7370.78904,72224.274,59259.15625
91,VIRGINIA,PARKSLEY,810,0,0.0,0,0,0,4,0,2,2,PARKSLEY,Parksley,VIRGINIA,51001,ACCOMACK,808,506,polygon,True,3,False,"Accomack County, VA",2p2c,8556.0,8874.71412,14262.8748,15842.3172,6315.83568,7370.78904,72224.274,59259.15625
