State,City,Population,V_crime,Murder,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson2
ALABAMA3,Hoover,"85,670",114,4,15,27,68,"1,922",128,"1,694",100,2
ALASKA,Anchorage,"287,731","3,581",32,540,621,"2,388","12,261","1,692","9,038","1,531",93
,Bethel,"6,544",130,1,47,3,79,132,20,84,28,12
,Bristol Bay Borough,852,2,0,0,0,2,20,5,8,7,0
,Cordova,"2,150",0,0,0,0,0,7,1,6,0,0
,Craig,"1,313",7,0,0,0,7,20,5,12,3,0
,Dillingham,"2,405",49,1,3,1,44,58,11,37,10,0
,Fairbanks,"31,493",247,3,33,52,159,"1,353",163,"1,006",184,23
,Haines,"2,441",9,0,0,0,9,13,1,10,2,0
,Homer,"5,913",12,0,0,0,12,146,11,118,17,
,Juneau,"31,810",289,3,24,45,217,"1,292",187,"1,012",93,16
,Kenai,"7,862",75,2,28,3,42,446,46,353,47,2
,Ketchikan,"8,316",40,0,9,1,30,421,32,368,21,2
,Kodiak,"5,947",49,0,14,4,31,190,37,122,31,3
,Kotzebue,"3,272",77,0,22,7,48,83,19,47,17,2
,Nome,"3,899",107,0,59,1,47,53,14,32,7,0
,North Pole,"2,111",16,0,3,0,13,79,12,63,4,1
,North Slope Borough,"9,801",123,2,6,0,115,72,18,46,8,3
,Palmer,"7,490",21,1,1,3,16,204,19,158,27,0
,Petersburg,"3,181",10,0,0,0,10,88,12,74,2,0
,Seward,"2,732",9,0,6,0,3,105,14,85,6,0
,Sitka,"8,512",16,0,2,4,10,168,18,139,11,0
,Skagway,"1,159",1,0,1,0,0,9,0,7,2,0
,Soldotna,"4,756",13,0,2,1,10,142,9,125,8,0
,Unalaska,"4,513",7,0,0,1,6,39,2,34,3,0
,Valdez,"3,816",5,0,0,0,5,40,2,34,4,0
,Wasilla,"10,915",48,1,5,14,28,580,115,425,40,4
,Wrangell,"2,489",2,0,2,0,0,11,3,7,1,0
ARIZONA,Apache Junction4,"42,531",95,2,12,14,67,,,453,88,6
,Avondale,"87,117",251,1,21,82,147,"3,095",381,"2,467",247,16
,Buckeye,"77,904",107,2,26,10,69,"1,265",146,"1,050",69,1
,Bullhead City,"40,532",129,2,23,25,79,"1,352",235,981,136,9
,Camp Verde,"11,286",46,0,3,0,43,265,62,187,16,1
,Casa Grande5,"58,366",274,2,27,33,212,"1,336",149,"1,071",116,11
,Chandler,"259,881",593,4,134,102,353,"5,382",547,"4,458",377,19
,Chino Valley,"12,162",37,0,1,0,36,154,32,107,15,0
,Clarkdale,"4,434",3,0,0,0,3,44,16,26,2,0
