State Name,City,Population,V_crime,Murder,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson2,State Abbreviation,Cost of Living Index
ALASKA,Anchorage,"287,731","3,581",32.0,540,621,"2,388","12,261","1,692","9,038","1,531",93,AK,110.7
ALASKA,Fairbanks,"31,493",247,3.0,33,52,159,"1,353",163,"1,006",184,23,AK,107.9
ARIZONA,Flagstaff,"75,013",367,1.0,42,43,281,"2,371",140,"2,169",62,33,AZ,108.5
ARIZONA,Lake Havasu City,"55,413",87,1.0,29,3,54,670,108,519,43,2,AZ,98.4
ARIZONA,Phoenix,"1,688,722","11,803",131.0,"1,139","3,197","7,336","55,974","9,471","39,427","7,076",201,AZ,104.3
ARIZONA,Prescott,"43,781",214,1.0,20,11,182,684,134,518,32,5,AZ,104.6
ARIZONA,Show Low,"11,401",59,0.0,6,2,51,332,38,277,17,0,AZ,101.9
ARIZONA,Sierra Vista,"44,310",116,2.0,7,16,91,987,124,800,63,3,AZ,93.2
ARIZONA,Tucson,"548,374","3,775",40.0,527,"1,105","2,103","17,943","2,497","13,196","2,250",142,AZ,97.7
ARIZONA,Yuma,"98,769",376,11.0,27,29,309,"2,302",483,"1,586",233,14,AZ,94.5
ARKANSAS,Fayetteville,"88,500",396,3.0,56,52,285,"3,966",398,"3,146",422,2,AR,90.4
ARKANSAS,Fort Smith,"88,041",863,4.0,97,90,672,"5,127",812,"3,929",386,11,AR,84.2
ARKANSAS,Hot Springs,"37,263",241,10.0,38,42,151,"2,674",755,"1,710",209,8,AR,87.3
ARKANSAS,Jonesboro,"78,261",537,13.0,74,58,392,"2,982","1,092","1,758",132,2,AR,85.2
ARKANSAS,Little Rock,"198,382","3,009",38.0,209,391,"2,371","12,145","1,760","9,316","1,069",45,AR,88.0
ARKANSAS,Russellville,"29,446",140,0.0,13,9,118,897,109,729,59,2,AR,85.5
ARKANSAS,Searcy,"23,873",199,4.0,15,21,159,"1,042",230,756,56,0,AR,85.4
CALIFORNIA,Bakersfield,"388,080","1,766",34.0,116,701,915,"16,074","3,888","9,277","2,909",470,CA,102.9
CALIFORNIA,Chico,"95,826",557,0.0,100,104,353,"2,406",272,"1,753",381,48,CA,110.5
CALIFORNIA,Clearlake,"15,400",119,1.0,19,36,63,460,146,210,104,11,CA,108.8
CALIFORNIA,El Centro,"44,303",143,3.0,9,41,90,"1,184",228,861,95,7,CA,102.3
CALIFORNIA,Eureka,"26,973",195,3.0,29,63,100,"1,350",187,977,186,24,CA,116.5
CALIFORNIA,Hanford,"57,232",257,0.0,18,40,199,"1,242",131,900,211,15,CA,105.4
CALIFORNIA,Los Angeles,"4,015,546","29,400",258.0,"2,274","9,652","17,216","95,704","13,809","66,253","15,642","1,672",CA,140.6
CALIFORNIA,Madera,"66,250",334,2.0,32,77,223,"1,301",235,824,242,10,CA,108.9
CALIFORNIA,Merced,"83,854",540,5.0,34,103,398,"2,342",396,"1,439",507,70,CA,108.2
CALIFORNIA,Modesto,"216,542","1,758",13.0,94,399,"1,252","7,183","1,149","4,849","1,185",95,CA,112.3
CALIFORNIA,Napa,"79,526",280,1.0,66,55,158,"1,232",248,847,137,46,CA,149.6
CALIFORNIA,Riverside,"333,260","1,686",17.0,139,476,"1,054","9,790","1,302","6,997","1,491",75,CA,116.1
CALIFORNIA,Sacramento,"513,934","3,223",34.0,127,"1,039","2,023","16,354","2,993","10,644","2,717",179,CA,120.3
CALIFORNIA,Salinas,"156,943",782,8.0,66,241,467,"3,532",742,"1,709","1,081",26,CA,138.3
CALIFORNIA,San Diego,"1,441,737","5,215",50.0,561,"1,346","3,258","27,141","3,543","18,426","5,172",122,CA,136.2
CALIFORNIA,San Francisco,"886,007","5,933",40.0,324,"3,055","2,514","48,780","4,644","39,887","4,249",275,CA,178.6
